story_id,artist_id
47252,1213
47295,1344
47408,2667
47687,1729
47706,1213
48300,1213
48321,1950
48598,260
48730,1213
48876,2596
48878,2596
48880,2859
49255,409
49257,409
49355,260
49554,1213
49577,1950
49676,2596
49680,2859
49858,1213
49873,1950
50185,1213
50217,1950
50411,260
50653,1213
50723,2648
50793,1213
50795,1213
50951,1213
50970,1950
51109,2596
51110,2301
51112,1141
51115,1073
51228,260
51391,1213
51562,1950
51570,765
51663,944
51716,1569
51779,426
51782,814
51940,260
52095,2110
52111,1213
52131,1950
52376,260
52549,1213
52550,1213
52552,1213
52631,1213
52856,260
53025,1213
53227,1569
53329,260
53636,1213
53746,409
53799,2596
53934,260
54092,1213
54386,260
54525,808
54632,1213
54651,1950
54916,260
54995,131
55170,1213
55195,190
55198,2893
55200,3131
55309,131
55319,2596
55452,260
55571,808
55747,1231
55749,465
55751,2161
55752,3131
55753,1297
55829,64
55837,2302
55839,2649
56305,2596
56478,260
56910,64
57047,260
57388,1928
57390,624
57518,260
57966,604
58520,2596
58532,1672
58534,624
58544,1569
58676,260
59137,260
59440,2596
59450,579
59588,260
59980,189
60138,260
60389,2596
60831,64
60850,1569
60995,260
61349,579
61371,1569
61493,260
61777,131
61797,1569
61811,1592
61812,1592
61816,1592
61934,260
62266,1569
62445,260
62447,2680
62808,131
62811,64
62977,260
63360,1569
63528,260
63636,1950
63928,944
63951,131
63955,64
63962,132
63994,1569
64148,260
64546,1569
64569,1569
64690,260
64801,808
64875,750
64963,131
64965,64
64968,1661
64993,1569
65008,1569
65163,260
65271,1950
65344,750
65345,750
65514,1569
65687,260
66044,131
66080,1569
66399,750
66497,2010
66498,575
66511,1569
66530,1569
66642,2680
66643,260
66760,1950
66826,750
66898,131
66909,131
66925,1569
66940,1569
67118,260
67119,2680
67360,750
67462,2010
67494,1569
67613,260
67766,1950
67839,750
67921,131
67924,64
67959,2559
67960,1998
67965,1569
68037,2521
68477,1569
68609,260
68775,1950
68942,131
68945,64
68966,2559
68967,2954
68967,983
68972,1569
69326,750
69410,260
69442,2859
69464,1569
69589,260
69722,1950
69933,944
69956,131
69960,64
69991,1569
70017,2559
70508,1569
70531,2559
70533,1569
70626,260
70742,1950
70812,750
70983,131
70987,64
71003,2954
71003,983
71024,2559
71048,2559
71102,1111
71188,260
71189,1070
71399,750
71521,1569
71530,1569
71536,2954
71536,983
71555,1569
71675,260
71677,1090
71969,727
71970,64
71985,2954
71985,983
72004,2559
72171,1090
72173,260
72291,1592
72454,1569
72466,2954
72466,983
72481,2559
72483,1569
72727,750
72824,2559
72825,2954
72825,983
72855,2559
73293,1569
73302,1569
73308,2955
73399,260
73656,2954
73656,983
73661,2954
73661,983
73694,2559
73837,260
73920,2244
73990,1569
74094,2954
74094,983
74102,1569
74117,2955
74207,260
74368,2254
74437,2954
74437,983
74442,2954
74442,983
74443,2559
74472,2559
74596,260
74651,1917
74787,2954
74787,983
74796,1569
74805,1569
74810,2954
74810,983
74834,2559
74954,260
75041,1592
75103,2955
75230,2889
75231,2889
75270,2559
75271,2954
75271,983
75276,2954
75276,983
75277,2559
75308,2559
75461,260
75562,750
75574,2559
75579,528
75643,1569
75659,2953
75692,711
75756,1090
75759,260
