id,name,year_began,year_ended,notes,url,publisher_id
2193,Fonna Forlag,NULL,NULL,NULL,NULL,1633
2194,Fonna Forlag L/L,NULL,NULL,NULL,NULL,1633
2195,Fonna; FF Fonna Forlag,NULL,NULL,NULL,NULL,1633
2196,Food Store Comics,1953,1953,NULL,NULL,3182
2197,For de Unge,NULL,NULL,NULL,NULL,1578
2198,For de unge as,NULL,NULL,NULL,NULL,1578
2199,Forbidden Fruit,1990,1994,Image has the words 'Forbidden Fruit' in a circle with a slash through various fruit images.,NULL,551
2200,Forever Nuts Classic Screwball Strips,NULL,NULL,Used for their humorous comic strip reprints.,http://www.nbmpub.com/forevernuts/galleryhome.html,525
2201,Forlaget Fabel,NULL,NULL,NULL,NULL,8572
2202,Forlaget For Alle,NULL,NULL,NULL,NULL,1635
2203,Forlaget For Alle A/S,NULL,NULL,NULL,NULL,1635
2204,Forlaget Harlekin,NULL,NULL,NULL,NULL,1583
2205,Forlaget Langs Lågen,NULL,NULL,NULL,NULL,7368
2206,Forlaget Zoom,NULL,NULL,NULL,NULL,7428
2207,Förlags AB Semic,NULL,NULL,NULL,NULL,1197
2208,Fortellerforlaget; Ben Caldwell tegneserie,NULL,NULL,NULL,NULL,5355
2209,Forum,1989,2006,NULL,NULL,4437
2210,Forum,NULL,NULL,NULL,NULL,1261
2211,Forum; Amalgam A Comics,NULL,NULL,NULL,NULL,4437
2212,Forum; Epic Comics,1985,1994,NULL,NULL,4437
2213,Forum; Excelsior Marvel Comics,NULL,NULL,NULL,NULL,4437
2214,Forum; Fantasia Heroica,NULL,NULL,NULL,NULL,4437
2215,Forum; Fantasia Heroica; Dark Horse Comics; Topps,NULL,NULL,NULL,NULL,4437
2216,Forum; Marvel,NULL,NULL,NULL,NULL,4437
2217,Forum; Marvel Comics,NULL,NULL,NULL,NULL,4437
2218,Forum; Marvel Comics Group,1998,1998,NULL,NULL,4437
2219,Forum; Marvel Comics; DC,NULL,NULL,NULL,NULL,4437
2220,Forum; Marvel Edge,NULL,NULL,NULL,NULL,4437
2221,Forum; Marvel Knights,NULL,NULL,NULL,NULL,4437
2222,Forum; Marvel MK,NULL,NULL,NULL,NULL,4437
2223,Forum; Marvel; DC,NULL,NULL,NULL,NULL,4437
2224,Forum; Max; Marvel Comics,NULL,NULL,NULL,NULL,4437
2225,Forum; Serie Oro,NULL,NULL,NULL,NULL,4437
2226,Fotonovel,1979,1980,NULL,NULL,2305
2227,Four Walls Eight Windows,1987,2004,NULL,NULL,4947
2228,FP,NULL,NULL,NULL,NULL,6141
2230,FP,NULL,NULL,NULL,NULL,2451
2231,FP,NULL,NULL,NULL,NULL,5281
2232,FP,NULL,NULL,NULL,NULL,1946
2233,FP Comics,NULL,NULL,NULL,NULL,5176
2234,FPC,1984,1985,NULL,NULL,4922
2235,FR,2012,NULL,"The letters FR over the stylized ""swish"" that previous Fall River brands have used.",NULL,4027
2236,Fractal,1994,1994,NULL,NULL,2541
2237,Fragile Elite Studio,NULL,NULL,NULL,NULL,5887
2238,Fragments West Comics Co.,1987,1988,NULL,NULL,2957
2239,Frankfurter Allgemeine,NULL,NULL,NULL,NULL,6862
2240,Fredhöis,NULL,NULL,NULL,NULL,1597
2241,Fredhøis forlag A/S,NULL,NULL,NULL,NULL,1597
2242,Fredhøis forlag; Damm,NULL,NULL,NULL,NULL,1597
2243,Free Books,NULL,NULL,NULL,NULL,2661
2244,Freedom Press (inside a capital F),NULL,NULL,NULL,http://www.freedompress.org.uk/,7661
2245,Freight,2010,NULL,NULL,NULL,8753
2246,Frew,NULL,NULL,NULL,NULL,2022
2247,Friendly Comics,1991,1992,NULL,NULL,2758
